"","State","Year","month","checks"
"1","Alabama",2020,"Jan",79332
"2","Alabama",2020,"Feb",75336
"3","Alabama",2020,"Mar",92652
"4","Alabama",2020,"Apr",70748
"5","Alabama",2020,"May",80519
"6","Alabama",2020,"Jun",139873
"7","Alaska",2020,"Jan",4706
"8","Alaska",2020,"Feb",5466
"9","Alaska",2020,"Mar",9939
"10","Alaska",2020,"Apr",8560
"11","Alaska",2020,"May",8883
"12","Alaska",2020,"Jun",9060
"13","Arizona",2020,"Jan",33224
"14","Arizona",2020,"Feb",37100
"15","Arizona",2020,"Mar",82771
"16","Arizona",2020,"Apr",59986
"17","Arizona",2020,"May",51098
"18","Arizona",2020,"Jun",74055
"19","Arkansas",2020,"Jan",19126
"20","Arkansas",2020,"Feb",21445
"21","Arkansas",2020,"Mar",31651
"22","Arkansas",2020,"Apr",30575
"23","Arkansas",2020,"May",25917
"24","Arkansas",2020,"Jun",30792
"25","California",2020,"Jan",96567
"26","California",2020,"Feb",95430
"27","California",2020,"Mar",164497
"28","California",2020,"Apr",122999
"29","California",2020,"May",110823
"30","California",2020,"Jun",158349
"31","Colorado",2020,"Jan",42133
"32","Colorado",2020,"Feb",40549
"33","Colorado",2020,"Mar",77305
"34","Colorado",2020,"Apr",52249
"35","Colorado",2020,"May",49967
"36","Colorado",2020,"Jun",66038
"37","Connecticut",2020,"Jan",15695
"38","Connecticut",2020,"Feb",16851
"39","Connecticut",2020,"Mar",23103
"40","Connecticut",2020,"Apr",12986
"41","Connecticut",2020,"May",10935
"42","Connecticut",2020,"Jun",18215
"43","Delaware",2020,"Jan",4482
"44","Delaware",2020,"Feb",4321
"45","Delaware",2020,"Mar",8123
"46","Delaware",2020,"Apr",5701
"47","Delaware",2020,"May",4858
"48","Delaware",2020,"Jun",8225
"49","District of Columbia",2020,"Jan",666
"50","District of Columbia",2020,"Feb",551
"51","District of Columbia",2020,"Mar",692
"52","District of Columbia",2020,"Apr",552
"53","District of Columbia",2020,"May",538
"54","District of Columbia",2020,"Jun",897
"55","Florida",2020,"Jan",110019
"56","Florida",2020,"Feb",116238
"57","Florida",2020,"Mar",192234
"58","Florida",2020,"Apr",128670
"59","Florida",2020,"May",115815
"60","Florida",2020,"Jun",210415
"61","Georgia",2020,"Jan",52557
"62","Georgia",2020,"Feb",54250
"63","Georgia",2020,"Mar",84601
"64","Georgia",2020,"Apr",52299
"65","Georgia",2020,"May",63658
"66","Georgia",2020,"Jun",106541
"67","Guam",2020,"Jan",229
"68","Guam",2020,"Feb",245
"69","Guam",2020,"Mar",271
"70","Guam",2020,"Apr",222
"71","Guam",2020,"May",334
"72","Guam",2020,"Jun",391
"73","Hawaii",2020,"Jan",1182
"74","Hawaii",2020,"Feb",1264
"75","Hawaii",2020,"Mar",1843
"76","Hawaii",2020,"Apr",1818
"77","Hawaii",2020,"May",1494
"78","Hawaii",2020,"Jun",1660
"79","Idaho",2020,"Jan",16541
"80","Idaho",2020,"Feb",18476
"81","Idaho",2020,"Mar",30989
"82","Idaho",2020,"Apr",21747
"83","Idaho",2020,"May",21863
"84","Idaho",2020,"Jun",28744
"85","Illinois",2020,"Jan",612411
"86","Illinois",2020,"Feb",620067
"87","Illinois",2020,"Mar",645109
"88","Illinois",2020,"Apr",632564
"89","Illinois",2020,"May",661470
"90","Illinois",2020,"Jun",706404
"91","Indiana",2020,"Jan",80283
"92","Indiana",2020,"Feb",85107
"93","Indiana",2020,"Mar",129016
"94","Indiana",2020,"Apr",88276
"95","Indiana",2020,"May",92156
"96","Indiana",2020,"Jun",141947
"97","Iowa",2020,"Jan",22600
"98","Iowa",2020,"Feb",20889
"99","Iowa",2020,"Mar",24652
"100","Iowa",2020,"Apr",26108
"101","Iowa",2020,"May",17359
"102","Iowa",2020,"Jun",24450
"103","Kansas",2020,"Jan",15578
"104","Kansas",2020,"Feb",17535
"105","Kansas",2020,"Mar",29816
"106","Kansas",2020,"Apr",18994
"107","Kansas",2020,"May",20044
"108","Kansas",2020,"Jun",22817
"109","Kentucky",2020,"Jan",367301
"110","Kentucky",2020,"Feb",398247
"111","Kentucky",2020,"Mar",235305
"112","Kentucky",2020,"Apr",205536
"113","Kentucky",2020,"May",394969
"114","Kentucky",2020,"Jun",395188
"115","Louisiana",2020,"Jan",23686
"116","Louisiana",2020,"Feb",24696
"117","Louisiana",2020,"Mar",42015
"118","Louisiana",2020,"Apr",31559
"119","Louisiana",2020,"May",32565
"120","Louisiana",2020,"Jun",44903
"121","Maine",2020,"Jan",7400
"122","Maine",2020,"Feb",7966
"123","Maine",2020,"Mar",14627
"124","Maine",2020,"Apr",11589
"125","Maine",2020,"May",10674
"126","Maine",2020,"Jun",12090
"127","Mariana Islands",2020,"Jan",26
"128","Mariana Islands",2020,"Feb",15
"129","Mariana Islands",2020,"Mar",5
"130","Mariana Islands",2020,"Apr",9
"131","Mariana Islands",2020,"May",13
"132","Mariana Islands",2020,"Jun",17
"133","Maryland",2020,"Jan",13961
"134","Maryland",2020,"Feb",15005
"135","Maryland",2020,"Mar",29414
"136","Maryland",2020,"Apr",20963
"137","Maryland",2020,"May",18282
"138","Maryland",2020,"Jun",25932
"139","Massachusetts",2020,"Jan",18235
"140","Massachusetts",2020,"Feb",18525
"141","Massachusetts",2020,"Mar",23579
"142","Massachusetts",2020,"Apr",7934
"143","Massachusetts",2020,"May",16371
"144","Massachusetts",2020,"Jun",24165
"145","Michigan",2020,"Jan",47110
"146","Michigan",2020,"Feb",47557
"147","Michigan",2020,"Mar",107492
"148","Michigan",2020,"Apr",53914
"149","Michigan",2020,"May",78813
"150","Michigan",2020,"Jun",110604
"151","Minnesota",2020,"Jan",56561
"152","Minnesota",2020,"Feb",61603
"153","Minnesota",2020,"Mar",96654
"154","Minnesota",2020,"Apr",75099
"155","Minnesota",2020,"May",70553
"156","Minnesota",2020,"Jun",86100
"157","Mississippi",2020,"Jan",20420
"158","Mississippi",2020,"Feb",24788
"159","Mississippi",2020,"Mar",33583
"160","Mississippi",2020,"Apr",29581
"161","Mississippi",2020,"May",29067
"162","Mississippi",2020,"Jun",36894
"163","Missouri",2020,"Jan",43596
"164","Missouri",2020,"Feb",48705
"165","Missouri",2020,"Mar",76262
"166","Missouri",2020,"Apr",58011
"167","Missouri",2020,"May",57221
"168","Missouri",2020,"Jun",67609
"169","Montana",2020,"Jan",9499
"170","Montana",2020,"Feb",10448
"171","Montana",2020,"Mar",16885
"172","Montana",2020,"Apr",14690
"173","Montana",2020,"May",14809
"174","Montana",2020,"Jun",16018
"175","Nebraska",2020,"Jan",7021
"176","Nebraska",2020,"Feb",6616
"177","Nebraska",2020,"Mar",11154
"178","Nebraska",2020,"Apr",7517
"179","Nebraska",2020,"May",5502
"180","Nebraska",2020,"Jun",9080
"181","Nevada",2020,"Jan",11074
"182","Nevada",2020,"Feb",13069
"183","Nevada",2020,"Mar",22236
"184","Nevada",2020,"Apr",18621
"185","Nevada",2020,"May",17987
"186","Nevada",2020,"Jun",24146
